Fecha, Hora,Sistema, Area, Pronostico (MWh),,,
02/01/2020,12,SIN,NOR,2012.413,,,
02/01/2020,13,SIN,NOR,2054.803,,,
02/01/2020,14,SIN,NOR,2068.096,,,
02/01/2020,15,SIN,NOR,2082.11,,,
02/01/2020,16,SIN,NOR,2094.735,,,
02/01/2020,17,SIN,NOR,2109.106,,,
02/01/2020,18,SIN,NOR,2123.202,,,
02/01/2020,19,SIN,NOR,2171.403,,,
02/01/2020,20,SIN,NOR,2260.772,,,
02/01/2020,21,SIN,NOR,2218.224,,,
02/01/2020,22,SIN,NOR,2168.98,,,
02/01/2020,23,SIN,NOR,2088.741,,,
02/01/2020,24,SIN,NOR,2005.77,,,
02/01/2020,1,SIN,NTE,2288.76,,,
02/01/2020,2,SIN,NTE,2216.822,,,
02/01/2020,3,SIN,NTE,2161.764,,,
02/01/2020,4,SIN,NTE,2138.496,,,
02/01/2020,5,SIN,NTE,2149.784,,,
02/01/2020,6,SIN,NTE,2195.155,,,
02/01/2020,7,SIN,NTE,2282.769,,,
02/01/2020,8,SIN,NTE,2434.426,,,
02/01/2020,9,SIN,NTE,2553.115,,,
02/01/2020,10,SIN,NTE,2676.028,,,
02/01/2020,11,SIN,NTE,2766.744,,,
02/01/2020,12,SIN,NTE,2816.661,,,
02/01/2020,13,SIN,NTE,2849.642,,,
02/01/2020,14,SIN,NTE,2822.03,,,
02/01/2020,15,SIN,NTE,2812.097,,,
02/01/2020,16,SIN,NTE,2792.672,,,
02/01/2020,17,SIN,NTE,2768.552,,,
02/01/2020,18,SIN,NTE,2780.178,,,
02/01/2020,19,SIN,NTE,2880.645,,,
02/01/2020,20,SIN,NTE,3001.301,,,
02/01/2020,21,SIN,NTE,3011.236,,,
02/01/2020,22,SIN,NTE,2962.263,,,
02/01/2020,23,SIN,NTE,2897.012,,,
02/01/2020,24,SIN,NTE,2772.045,,,
02/01/2020,1,SIN,OCC,5854.445,,,
02/01/2020,2,SIN,OCC,5713.874,,,
02/01/2020,3,SIN,OCC,5576.897,,,
02/01/2020,4,SIN,OCC,5557.015,,,
02/01/2020,5,SIN,OCC,5622.522,,,
02/01/2020,6,SIN,OCC,5788.783,,,
02/01/2020,7,SIN,OCC,6139.451,,,
02/01/2020,8,SIN,OCC,6606.274,,,
02/01/2020,9,SIN,OCC,7118.311,,,
02/01/2020,10,SIN,OCC,7543.252,,,
02/01/2020,11,SIN,OCC,7749.282,,,
02/01/2020,12,SIN,OCC,7855.196,,,
02/01/2020,13,SIN,OCC,7967.519,,,
02/01/2020,14,SIN,OCC,7990.329,,,
02/01/2020,15,SIN,OCC,7969.924,,,
02/01/2020,16,SIN,OCC,7988.037,,,
02/01/2020,17,SIN,OCC,7995.885,,,
02/01/2020,18,SIN,OCC,7940.289,,,
02/01/2020,19,SIN,OCC,7952.63,,,
02/01/2020,20,SIN,OCC,8331.756,,,
02/01/2020,21,SIN,OCC,8257.317,,,
02/01/2020,22,SIN,OCC,7940.32,,,
02/01/2020,23,SIN,OCC,7719.337,,,
02/01/2020,24,SIN,OCC,7394.842,,,
02/01/2020,1,SIN,ORI,5179.97,,,
02/01/2020,2,SIN,ORI,4958.92,,,
02/01/2020,3,SIN,ORI,4833.41,,,
02/01/2020,4,SIN,ORI,4759.62,,,
02/01/2020,5,SIN,ORI,4748.608,,,
02/01/2020,6,SIN,ORI,4819.789,,,
02/01/2020,7,SIN,ORI,4980.523,,,
02/01/2020,8,SIN,ORI,5012.373,,,
02/01/2020,9,SIN,ORI,5247.76,,,
02/01/2020,10,SIN,ORI,5462.135,,,
02/01/2020,11,SIN,ORI,5615.891,,,
02/01/2020,12,SIN,ORI,5726.153,,,
02/01/2020,13,SIN,ORI,5797.625,,,
02/01/2020,14,SIN,ORI,5861.9,,,
02/01/2020,15,SIN,ORI,5893.562,,,
02/01/2020,16,SIN,ORI,5900.754,,,
02/01/2020,17,SIN,ORI,5924.176,,,
02/01/2020,18,SIN,ORI,6025.411,,,
02/01/2020,19,SIN,ORI,6573.904,,,
02/01/2020,20,SIN,ORI,6854.689,,,
02/01/2020,21,SIN,ORI,6722.556,,,
02/01/2020,22,SIN,ORI,6470.398,,,
02/01/2020,23,SIN,ORI,6175.165,,,
02/01/2020,24,SIN,ORI,5858.911,,,
02/01/2020,1,SIN,PEN,1231.675,,,
02/01/2020,2,SIN,PEN,1171.94,,,
02/01/2020,3,SIN,PEN,1121.753,,,
02/01/2020,4,SIN,PEN,1090.327,,,
02/01/2020,5,SIN,PEN,1077.866,,,
